Power_Plant_ID,plant_name,fuel_type,capacity,capacity_factor_2025
Natural Gas_65373,Brotman Power Station,Natural Gas,484.0,0.0705
Solar_65463,Hornet Solar (TX),Solar,600.0,0.2314
Solar_65521,"Longbow Solar, LLC",Solar,78.1,0.2061
Wind_65546,Inertia Wind Project,Wind,301.0,0.4735
Solar_65631,"Pisgah Ridge Solar, LLC",Solar,250.0,0.2326
Other_65644,Lumina II Solar Project,Other,486.6,0.1643
Solar_65644,Lumina II Solar Project,Solar,486.6,0.1643
Other_65645,Lumina Solar Project,Other,486.6,0.1595
Solar_65645,Lumina Solar Project,Solar,486.6,0.1595
Solar_65654,Texas Solar Nova 1,Solar,252.0,0.3199
Solar_65660,Texas Solar Nova 2,Solar,200.0,0.3212
Solar_65661,Nebula Solar,Solar,135.0,0.2464
Solar_65662,Vancourt Solar Interconnections,Solar,45.0,0.2383
Wind_65760,"El Sauz Ranch Wind, LLC",Wind,301.0,0.3107
Solar_65762,Waco Solar,Solar,400.0,0.2598
Wind_65763,Young Wind,Wind,500.0,0.3582
Wind_65790,Castle Gap Wind,Wind,196.8,0.3669
Solar_65793,"Concho Valley Solar, LLC",Solar,172.8,0.2006
Solar_65849,Oriana Solar LLC,Solar,180.0,0.0777
Solar_65891,Orange Grove,Solar,131.0,0.1504
Solar_65894,Stillhouse Solar,Solar,210.0,0.0292
Solar_65937,"Porter Solar, LLC (TX)",Solar,245.0,0.2592
Solar_65947,Tres Bahias,Solar,196.3,0.2551
Solar_65975,Starr Solar Ranch,Solar,136.0,0.2285
Solar_65979,Peregrine Solar,Solar,300.0,0.2387
Solar_65981,Second Division Solar,Solar,100.0,0.2178
Solar_65998,"True North Solar, LLC",Solar,238.8,0.266
Solar_66046,Brazoria County Solar Project (Danciger),Solar,200.0,0.2414
Wind_66123,Prairie Switch Wind LLC,Wind,163.2,0.2043
Other_66137,Zier Solar,Other,200.4,0.2076
Solar_66137,Zier Solar,Solar,200.4,0.2076
