episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy
118,836127274.126776,0.7612,3116209192.9729214,0.7347,2066926476.0650074,0.6708,1672329391.6538968,0.7239,1680832625.7886775,0.6955,1663369449.1938715,0.7509,2356979894.115305,0.7359
119,751860200.7845294,0.7656,3098327534.377899,0.7426,2087000515.1876237,0.6815,1641471110.017639,0.7254,1712984257.6149967,0.7013,1756051712.1760993,0.7509,2334462043.4033866,0.7421
120,664685664.1302774,0.7615,2423514226.0717893,0.746,1707218137.0334353,0.6827,1287632966.3954427,0.7328,1819556933.5345306,0.702,1842906877.1060603,0.7527,2119835025.71351,0.741
121,510328104.7654876,0.7554,1909103669.8598356,0.7373,2357510186.3237777,0.6735,1029375064.7466569,0.7313,2818286984.4600835,0.6985,3287592718.867647,0.749,3224796357.1464634,0.736
122,160644512.48941004,0.7489,724564178.8744136,0.7349,2685355498.7717233,0.6669,397112469.79776007,0.7285,3343538363.9829183,0.699,4554150559.8705,0.7448,3897001765.507512,0.7292
123,167267523.45455673,0.753,914259686.0156214,0.7337,3716793510.0401464,0.6705,414913393.21837103,0.7343,4149236817.3293486,0.7041,5994913893.216771,0.748,5258869356.535732,0.7349
124,311247821.11484283,0.7521,1063402331.6480412,0.7335,4305525453.703623,0.6709,443767700.07967436,0.7337,4882611938.611416,0.6988,7188010405.960497,0.7423,6438953284.111308,0.7347
125,2164804179.4713693,0.748,8921097529.435677,0.7324,10503634305.9601,0.6668,3251603712.0689526,0.7302,11025379288.354872,0.6951,12146303982.171856,0.7378,13074335585.218554,0.7307
126,3422238661.834831,0.7469,15386146184.319874,0.727,15779182856.254057,0.6606,5286058514.992189,0.7253,15368656236.231546,0.6878,15844933787.043339,0.734,18429135329.253475,0.7276
127,4300726542.401679,0.741,20263619057.399162,0.7163,20353369554.94831,0.6528,6664564583.85912,0.7261,18237851926.92899,0.6851,18829053756.53495,0.7281,23050708238.181705,0.7228
128,4824330611.259425,0.7425,22977137910.105618,0.7163,22098700695.4232,0.6521,7670538403.431296,0.729,19211513553.36023,0.6882,19669324364.834713,0.729,25661939614.012512,0.7298
129,5157127808.875091,0.7403,24341829182.66254,0.7127,22575405985.27439,0.6508,8245793725.092108,0.7262,19174160834.89632,0.6857,19537440503.5234,0.7247,26058372180.307297,0.731
130,5424235385.497641,0.7321,25393789149.647785,0.7033,22838764306.315872,0.6444,8909446595.825172,0.7193,18808450733.60967,0.68,18932870458.46799,0.7171,26145351130.795425,0.7267
131,5407482269.819495,0.7224,25754685121.21091,0.693,22406808854.19657,0.6469,8807833808.57388,0.7092,17007758286.994673,0.6749,16578495520.776583,0.7113,24912232489.284664,0.7182
132,4912487594.731771,0.7202,24502276417.56848,0.6907,20175083883.630627,0.6504,8005469009.0708885,0.7077,13892038391.24868,0.6796,12591078389.45086,0.7115,21286589421.61601,0.7161
133,4239364815.2061567,0.7216,21544389034.95297,0.6966,16627673634.317272,0.6514,7370930005.846289,0.71,10605749120.60219,0.6794,9133302152.904177,0.7145,16241533693.641956,0.716
134,3430876678.1555905,0.7322,17749565336.61243,0.7034,12534317901.255594,0.6591,6415334303.025984,0.7097,8537833205.150869,0.6812,6826079468.439205,0.7206,12142969565.243113,0.7246
