episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
109,165731782.39069456,0.7241,0.7241,219578825.4809268,0.6892,0.6892,157662935.52228922,0.6974,0.6974,651096351.8349521,-0.0,599297522.1555836,0.4316
110,159768231.59320328,0.7217,0.7217,175525382.2468483,0.6854,0.6854,122637614.39432849,0.6893,0.6893,516125493.6470982,-0.0,487367297.70504105,0.4317
111,151473618.08777565,0.7252,0.7252,145131271.1352261,0.6866,0.6866,86014433.0949355,0.6941,0.6941,387323950.3354553,-0.0,333890878.1557767,0.4316
112,155418844.80260321,0.7282,0.7282,139619943.40846962,0.6953,0.6953,72869331.84779249,0.7059,0.7059,322661991.95642316,-0.0,217712314.94288096,0.4312
113,180000938.18092617,0.7321,0.7321,138884053.30648106,0.6967,0.6967,58589176.178956375,0.7113,0.7113,317354667.1099145,-0.0,174610997.71576527,0.4312
114,226006077.6090586,0.7145,0.7145,140613624.12705562,0.6873,0.6873,57711397.38824364,0.694,0.694,401408975.71755314,-0.0,213522144.45764554,0.4312
115,301394741.08591026,0.7038,0.7038,155608914.24190092,0.6764,0.6764,68162128.16583896,0.686,0.686,512810609.10061526,-0.0,274873072.23183125,0.4312
116,332364031.4839357,0.7054,0.7054,163609959.0822689,0.6768,0.6768,74712208.83427495,0.6867,0.6867,563831447.9786748,-0.0,296597968.33389103,0.4316
117,354772003.43012416,0.7009,0.7009,175578669.1221073,0.6723,0.6723,85443653.7542362,0.6846,0.6846,627500382.7567128,-0.0,338569679.53088003,0.4317
118,380008837.1358744,0.7014,0.7014,184312740.802371,0.6753,0.6753,98498282.12346631,0.6809,0.6809,644610155.4929351,-0.0,357144154.95485336,0.4316
119,401450054.0229563,0.707,0.707,203199137.10308644,0.6785,0.6785,118065146.93632856,0.6884,0.6884,730184008.1214077,-0.0,391911816.85175806,0.4312
