source,target,agent_id,from_policy_id,to_policy_id,gain_mean,gain_lcb,decision_rule,epsilon
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__quantity_up_1,cost_plus_agent_1,85511.47408263202,85217.81228011138,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__quantity_up_1,hist_quantile_agent_1,16392.6096674902,16133.73398371172,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,0,hist_quantile_agent_0,cost_plus_agent_0,69072.72125996357,68853.60794913111,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1,1,learned_agent_1__quantity_down_1,learned_agent_1,13200.141518240633,13176.52708038778,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__quantity_down_1,cost_plus_agent_1,112205.5661133413,111935.09169963238,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__quantity_down_1,hist_quantile_agent_1,43086.70169819948,42854.91658457549,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1,1,learned_agent_1__quantity_down_1,learned_agent_1__price_up_1,674.3323254451025,543.9166913356077,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1__quantity_down_1,learned_agent_1__price_down_1,21445.5877227303,21381.04379488309,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__quantity_down_1,learned_agent_1__quantity_up_1,26694.092030709275,26648.02483053961,conservative,0.0
a0:learned_agent_0__price_up_1|a1:learned_agent_1,a0:learned_agent_0|a1:learned_agent_1,0,learned_agent_0__price_up_1,learned_agent_0,12109.661579415362,11956.734506661624,conservative,0.0
a0:learned_agent_0__price_up_1|a1:learned_agent_1,a0:cost_plus_agent_0|a1:learned_agent_1,0,learned_agent_0__price_up_1,cost_plus_agent_0,103037.2911621553,102759.95707479567,conservative,0.0
a0:learned_agent_0__price_up_1|a1:learned_agent_1,a0:hist_quantile_agent_0|a1:learned_agent_1,0,learned_agent_0__price_up_1,hist_quantile_agent_0,33965.16058556484,33683.32198494282,conservative,0.0
a0:learned_agent_0__price_up_1|a1:learned_agent_1,a0:learned_agent_0__price_down_1|a1:learned_agent_1,0,learned_agent_0__price_up_1,learned_agent_0__price_down_1,26545.15913245079,26427.230103754973,conservative,0.0
